"period";"id";"flattr.url";"url";"title";"clicks";"revenue";"clicks.total"
"2013-04";1232661;"https://flattr.com/thing/1232661/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/4527822";"Post by konscience on App.net";1;0,05;1
"2013-05";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";8;0,95;168
"2013-05";1330156;"https://flattr.com/thing/1330156/KNS003-Klarer-Fall-von-Anthropozn";"http://www.konscience.de/2013/05/09/kns003-klarer-fall-von-anthropozan/";"KNS003 – Klarer Fall von Anthropozän";4;0,39;11
"2013-05";1397469;"https://flattr.com/thing/1397469/KNS004-Wirbeltiere-haben-Rckgrat";"http://www.konscience.de/2013/05/30/kns004-wirbeltiere-haben-ruckgrat/";"KNS004 – Wirbeltiere haben Rückgrat";3;0,35;12
"2013-05";1364168;"https://flattr.com/thing/1364168/1k-Dank-frs-Flattrn";"http://www.konscience.de/2013/05/16/1k-dank-furs-flattrn/";"1k Dank für’s Flattrn!";2;0,26;2
"2013-05";1340754;"https://flattr.com/thing/1340754/Unsere-beiden-Studios";"http://www.konscience.de/2013/04/20/unsere-beiden-studios/";"Unsere beiden Studios";1;0,11;1
"2013-05";1280133;"https://flattr.com/thing/1280133/KNS002-Podcast-Krabbelgruppe-und-Katrins-Projekt";"http://www.konscience.de/podcast/";"KNS002 – Podcast-Krabbelgruppe und Katrins Projekt";1;0,11;2
"2013-05";1397468;"https://flattr.com/thing/1397468/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/6202474";"Post by konscience on App.net";1;0,07;1
"2013-05";1375853;"https://flattr.com/thing/1375853/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/6003303";"Post by konscience on App.net";1;0,07;1
"2013-05";1368913;"https://flattr.com/thing/1368913/ber-uns";"http://www.konscience.de/uber-uns/";"Über uns";1;0,07;4
"2013-05";1368912;"https://flattr.com/thing/1368912/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/5897766";"Post by konscience on App.net";1;0,07;1
"2013-05";1330155;"https://flattr.com/thing/1330155/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/5493015";"Post by konscience on App.net";1;0,07;1
"2013-05";1364435;"https://flattr.com/thing/1364435/Abonnieren";"http://www.konscience.de/abonnieren/";"Abonnieren";1;0,07;2
"2013-05";1386346;"https://flattr.com/thing/1386346/konscience-on-App-net";"https://alpha.app.net/konscience";"konscience on App.net";1;0,02;1
"2013-06";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";7;3,41;168
"2013-06";1492271;"https://flattr.com/thing/1492271/KNS005-OMG-its-full-of-genetics";"http://www.konscience.de/2013/06/16/kns005-omg-its-full-of-genetics/";"KNS005 – OMG, it’s full of genetics!";5;1,17;10
"2013-06";1265883;"https://flattr.com/thing/1265883/KNS001-Der-Anfang-ist-gemacht";"http://www.konscience.de/2013/04/18/kns001-der-anfang-ist-gemacht/";"KNS001 – Der Anfang ist gemacht";3;0,61;14
"2013-06";1330156;"https://flattr.com/thing/1330156/KNS003-Klarer-Fall-von-Anthropozn";"http://www.konscience.de/2013/05/09/kns003-klarer-fall-von-anthropozan/";"KNS003 – Klarer Fall von Anthropozän";2;0,58;11
"2013-06";1270005;"https://flattr.com/thing/1270005/KNS002-Podcast-Krabbelgruppe-und-Katrins-Projekt";"http://www.konscience.de/2013/04/20/kns002-podcast-krabbelgruppe-und-katrins-projekt/";"KNS002 – Podcast-Krabbelgruppe und Katrins Projekt";2;0,58;11
"2013-06";1397469;"https://flattr.com/thing/1397469/KNS004-Wirbeltiere-haben-Rckgrat";"http://www.konscience.de/2013/05/30/kns004-wirbeltiere-haben-ruckgrat/";"KNS004 – Wirbeltiere haben Rückgrat";3;0,43;12
"2013-06";1224259;"https://flattr.com/thing/1224259/KNS000-Teaser";"http://www.konscience.de/2013/03/30/kns000-teaser/";"KNS000 – Teaser";2;0,26;11
"2013-06";1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";1;0,19;48
"2013-06";1492270;"https://flattr.com/thing/1492270/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/6816695";"Post by konscience on App.net";1;0,07;1
"2013-06";1495598;"https://flattr.com/thing/1495598/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/6832655";"Post by konscience on App.net";1;0,07;1
"2013-07";1624263;"https://flattr.com/thing/1624263/KNS006-Nacktmulle-an-die-Macht";"http://www.konscience.de/2013/07/09/kns006-nacktmulle-an-die-macht/";"KNS006 – Nacktmulle an die Macht";8;2,6;14
"2013-07";1690547;"https://flattr.com/thing/1690547/KNS007-Sondersendung-Politik-und-Zeitgeschichte-Ostasiens";"http://www.konscience.de/2013/07/22/kns007-sondersendung-politik-und-zeitgeschichte-ostasiens/";"KNS007 – Sondersendung – Politik und Zeitgeschichte Ostasiens";6;1,97;9
"2013-07";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";8;1,49;168
"2013-07";1265883;"https://flattr.com/thing/1265883/KNS001-Der-Anfang-ist-gemacht";"http://www.konscience.de/2013/04/18/kns001-der-anfang-ist-gemacht/";"KNS001 – Der Anfang ist gemacht";2;0,59;14
"2013-07";1492271;"https://flattr.com/thing/1492271/KNS005-OMG-its-full-of-genetics";"http://www.konscience.de/2013/06/16/kns005-omg-its-full-of-genetics/";"KNS005 – OMG, it’s full of genetics!";2;0,38;10
"2013-07";1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";2;0,36;48
"2013-07";1368913;"https://flattr.com/thing/1368913/ber-uns";"http://www.konscience.de/uber-uns/";"Über uns";1;0,3;4
"2013-07";1397469;"https://flattr.com/thing/1397469/KNS004-Wirbeltiere-haben-Rckgrat";"http://www.konscience.de/2013/05/30/kns004-wirbeltiere-haben-ruckgrat/";"KNS004 – Wirbeltiere haben Rückgrat";2;0,28;12
"2013-07";1624293;"https://flattr.com/thing/1624293/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/7512408";"Post by konscience on App.net";1;0,1;1
"2013-07";1720649;"https://flattr.com/thing/1720649/KNS008-Dinge-zwischen-Strato-und-Asthenosphre";"http://www.konscience.de/2013/07/28/kns008-dinge-zwischen-strato-und-asthenosphaere/";"KNS008 – Dinge zwischen Strato- und Asthenosphäre";1;0,07;9
"2013-07";1270005;"https://flattr.com/thing/1270005/KNS002-Podcast-Krabbelgruppe-und-Katrins-Projekt";"http://www.konscience.de/2013/04/20/kns002-podcast-krabbelgruppe-und-katrins-projekt/";"KNS002 – Podcast-Krabbelgruppe und Katrins Projekt";1;0,05;11
"2013-07";1224259;"https://flattr.com/thing/1224259/KNS000-Teaser";"http://www.konscience.de/2013/03/30/kns000-teaser/";"KNS000 – Teaser";1;0,05;11
"2013-07";1732286;"https://flattr.com/thing/1732286/KNS007-Sondersendung-Politik-und-Zeitgeschichte-Ostasiens";"http://www.konscience.de/2013/07/22/kns007-sondersendung-politk-und-zeitgeschichte-ostasiens/";"KNS007 – Sondersendung – Politik und Zeitgeschichte Ostasiens";1;0,05;1
"2013-08";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";7;1,3;168
"2013-08";1720649;"https://flattr.com/thing/1720649/KNS008-Dinge-zwischen-Strato-und-Asthenosphre";"http://www.konscience.de/2013/07/28/kns008-dinge-zwischen-strato-und-asthenosphaere/";"KNS008 – Dinge zwischen Strato- und Asthenosphäre";3;0,95;9
"2013-08";1624263;"https://flattr.com/thing/1624263/KNS006-Nacktmulle-an-die-Macht";"http://www.konscience.de/2013/07/09/kns006-nacktmulle-an-die-macht/";"KNS006 – Nacktmulle an die Macht";2;0,86;14
"2013-08";1364435;"https://flattr.com/thing/1364435/Abonnieren";"http://www.konscience.de/abonnieren/";"Abonnieren";1;0,41;2
"2013-08";1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";2;0,3;48
"2013-08";1690547;"https://flattr.com/thing/1690547/KNS007-Sondersendung-Politik-und-Zeitgeschichte-Ostasiens";"http://www.konscience.de/2013/07/22/kns007-sondersendung-politik-und-zeitgeschichte-ostasiens/";"KNS007 – Sondersendung – Politik und Zeitgeschichte Ostasiens";1;0,22;9
"2013-09";1907199;"https://flattr.com/thing/1907199/KNS009-ToF-ToF-MS";"http://www.konscience.de/2013/09/02/kns009-tof-tof-ms/";"KNS009 – ToF-ToF-MS";10;3,49;14
"2013-09";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";8;2,26;168
"2013-09";2004418;"https://flattr.com/thing/2004418/KNS010-Katzenbeschftigungstherapie";"http://www.konscience.de/2013/09/22/kns010-katzenbeschaeftigungstherapie/";"KNS010 – Katzenbeschäftigungstherapie";6;2,13;14
"2013-09";1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";5;1,48;48
"2013-09";1368913;"https://flattr.com/thing/1368913/ber-uns";"http://www.konscience.de/uber-uns/";"Über uns";1;0,35;4
"2013-09";1224259;"https://flattr.com/thing/1224259/KNS000-Teaser";"http://www.konscience.de/2013/03/30/kns000-teaser/";"KNS000 – Teaser";1;0,1;11
"2013-09";1270005;"https://flattr.com/thing/1270005/KNS002-Podcast-Krabbelgruppe-und-Katrins-Projekt";"http://www.konscience.de/2013/04/20/kns002-podcast-krabbelgruppe-und-katrins-projekt/";"KNS002 – Podcast-Krabbelgruppe und Katrins Projekt";1;0,1;11
"2013-09";1624263;"https://flattr.com/thing/1624263/KNS006-Nacktmulle-an-die-Macht";"http://www.konscience.de/2013/07/09/kns006-nacktmulle-an-die-macht/";"KNS006 – Nacktmulle an die Macht";1;0,1;14
"2013-09";1492271;"https://flattr.com/thing/1492271/KNS005-OMG-its-full-of-genetics";"http://www.konscience.de/2013/06/16/kns005-omg-its-full-of-genetics/";"KNS005 – OMG, it’s full of genetics!";1;0,1;10
"2013-09";1265883;"https://flattr.com/thing/1265883/KNS001-Der-Anfang-ist-gemacht";"http://www.konscience.de/2013/04/18/kns001-der-anfang-ist-gemacht/";"KNS001 – Der Anfang ist gemacht";1;0,1;14
"2013-09";1330156;"https://flattr.com/thing/1330156/KNS003-Klarer-Fall-von-Anthropozn";"http://www.konscience.de/2013/05/09/kns003-klarer-fall-von-anthropozan/";"KNS003 – Klarer Fall von Anthropozän";1;0,1;11
"2013-09";1397469;"https://flattr.com/thing/1397469/KNS004-Wirbeltiere-haben-Rckgrat";"http://www.konscience.de/2013/05/30/kns004-wirbeltiere-haben-ruckgrat/";"KNS004 – Wirbeltiere haben Rückgrat";1;0,1;12
"2013-09";1720649;"https://flattr.com/thing/1720649/KNS008-Dinge-zwischen-Strato-und-Asthenosphre";"http://www.konscience.de/2013/07/28/kns008-dinge-zwischen-strato-und-asthenosphaere/";"KNS008 – Dinge zwischen Strato- und Asthenosphäre";1;0,08;9
"2013-09";1976496;"https://flattr.com/thing/1976496/KonScience-im-ReliveRadio";"http://reliveradio.de/konscience";"KonScience im ReliveRadio";1;0,07;1
"2013-10";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";8;2,31;168
"2013-10";1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";4;1,22;48
"2013-10";2004418;"https://flattr.com/thing/2004418/KNS010-Katzenbeschftigungstherapie";"http://www.konscience.de/2013/09/22/kns010-katzenbeschaeftigungstherapie/";"KNS010 – Katzenbeschäftigungstherapie";3;0,67;14
"2013-10";2047695;"https://flattr.com/thing/2047695/KonScience-in-der-Hrsuppe";"http://hoersuppe.de/podcast/konscience";"KonScience in der Hörsuppe";2;0,15;3
"2013-10";1690547;"https://flattr.com/thing/1690547/KNS007-Sondersendung-Politik-und-Zeitgeschichte-Ostasiens";"http://www.konscience.de/2013/07/22/kns007-sondersendung-politik-und-zeitgeschichte-ostasiens/";"KNS007 – Sondersendung – Politik und Zeitgeschichte Ostasiens";1;0,12;9
"2013-10";1720649;"https://flattr.com/thing/1720649/KNS008-Dinge-zwischen-Strato-und-Asthenosphre";"http://www.konscience.de/2013/07/28/kns008-dinge-zwischen-strato-und-asthenosphaere/";"KNS008 – Dinge zwischen Strato- und Asthenosphäre";1;0,12;9
"2013-11";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";10;3,74;168
"2013-11";2190996;"https://flattr.com/thing/2190996/KNS011-Ey-Alter-mach-Protein";"http://www.konscience.de/2013/11/04/kns011-ey-alter-mach-protein/";"KNS011 – Ey Alter, mach’ Protein!";9;3,3;13
"2013-11";2247081;"https://flattr.com/thing/2247081/KNS012-Tough-Times-All-Around";"http://www.konscience.de/2013/11/17/kns012-tough-times-all-around/";"KNS012 – Tough Times All Around";7;3,14;12
"2013-11";1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";5;1,55;48
"2013-11";2004418;"https://flattr.com/thing/2004418/KNS010-Katzenbeschftigungstherapie";"http://www.konscience.de/2013/09/22/kns010-katzenbeschaeftigungstherapie/";"KNS010 – Katzenbeschäftigungstherapie";1;0,6;14
"2013-11";1397469;"https://flattr.com/thing/1397469/KNS004-Wirbeltiere-haben-Rckgrat";"http://www.konscience.de/2013/05/30/kns004-wirbeltiere-haben-ruckgrat/";"KNS004 – Wirbeltiere haben Rückgrat";1;0,18;12
"2013-11";1907199;"https://flattr.com/thing/1907199/KNS009-ToF-ToF-MS";"http://www.konscience.de/2013/09/02/kns009-tof-tof-ms/";"KNS009 – ToF-ToF-MS";1;0,13;14
"2013-11";2047695;"https://flattr.com/thing/2047695/KonScience-in-der-Hrsuppe";"http://hoersuppe.de/podcast/konscience";"KonScience in der Hörsuppe";1;0,12;3
"2013-12";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";11;5,03;168
"2013-12";2339981;"https://flattr.com/thing/2339981/KNS013-Phnix-aus-der-Gammastrahlung";"http://www.konscience.de/2013/12/09/kns013-phoenix-aus-der-gammastrahlung/";"KNS013 – Phönix aus der Gammastrahlung";7;1,87;9
"2013-12";2247081;"https://flattr.com/thing/2247081/KNS012-Tough-Times-All-Around";"http://www.konscience.de/2013/11/17/kns012-tough-times-all-around/";"KNS012 – Tough Times All Around";3;1,81;12
"2013-12";1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";5;1,02;48
"2013-12";2190996;"https://flattr.com/thing/2190996/KNS011-Ey-Alter-mach-Protein";"http://www.konscience.de/2013/11/04/kns011-ey-alter-mach-protein/";"KNS011 – Ey Alter, mach’ Protein!";2;0,69;13
"2013-12";1624263;"https://flattr.com/thing/1624263/KNS006-Nacktmulle-an-die-Macht";"http://www.konscience.de/2013/07/09/kns006-nacktmulle-an-die-macht/";"KNS006 – Nacktmulle an die Macht";1;0,21;14
"2013-12";2004418;"https://flattr.com/thing/2004418/KNS010-Katzenbeschftigungstherapie";"http://www.konscience.de/2013/09/22/kns010-katzenbeschaeftigungstherapie/";"KNS010 – Katzenbeschäftigungstherapie";1;0,16;14
"2013-12";1907199;"https://flattr.com/thing/1907199/KNS009-ToF-ToF-MS";"http://www.konscience.de/2013/09/02/kns009-tof-tof-ms/";"KNS009 – ToF-ToF-MS";1;0,16;14
"2013-12";1265883;"https://flattr.com/thing/1265883/KNS001-Der-Anfang-ist-gemacht";"http://www.konscience.de/2013/04/18/kns001-der-anfang-ist-gemacht/";"KNS001 – Der Anfang ist gemacht";1;0,09;14
"2013-12";1224259;"https://flattr.com/thing/1224259/KNS000-Teaser";"http://www.konscience.de/2013/03/30/kns000-teaser/";"KNS000 – Teaser";1;0,09;11
"2014-01";2462248;"https://flattr.com/thing/2462248/KNS014-Seesternzombies";"http://www.konscience.de/2014/01/08/kns014-seesternzombies/";"KNS014 – Seesternzombies";11;5,88;12
"2014-01";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";11;5,03;168
"2014-01";1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";4;1,12;48
"2014-01";1330156;"https://flattr.com/thing/1330156/KNS003-Klarer-Fall-von-Anthropozn";"http://www.konscience.de/2013/05/09/kns003-klarer-fall-von-anthropozan/";"KNS003 – Klarer Fall von Anthropozän";2;0,24;11
"2014-01";1907199;"https://flattr.com/thing/1907199/KNS009-ToF-ToF-MS";"http://www.konscience.de/2013/09/02/kns009-tof-tof-ms/";"KNS009 – ToF-ToF-MS";1;0,07;14
"2014-01";1270005;"https://flattr.com/thing/1270005/KNS002-Podcast-Krabbelgruppe-und-Katrins-Projekt";"http://www.konscience.de/2013/04/20/kns002-podcast-krabbelgruppe-und-katrins-projekt/";"KNS002 – Podcast-Krabbelgruppe und Katrins Projekt";1;0,07;11
"2014-01";1624263;"https://flattr.com/thing/1624263/KNS006-Nacktmulle-an-die-Macht";"http://www.konscience.de/2013/07/09/kns006-nacktmulle-an-die-macht/";"KNS006 – Nacktmulle an die Macht";1;0,07;14
"2014-01";1492271;"https://flattr.com/thing/1492271/KNS005-OMG-its-full-of-genetics";"http://www.konscience.de/2013/06/16/kns005-omg-its-full-of-genetics/";"KNS005 – OMG, it’s full of genetics!";1;0,07;10
"2014-01";1397469;"https://flattr.com/thing/1397469/KNS004-Wirbeltiere-haben-Rckgrat";"http://www.konscience.de/2013/05/30/kns004-wirbeltiere-haben-ruckgrat/";"KNS004 – Wirbeltiere haben Rückgrat";1;0,07;12
"2014-01";1720649;"https://flattr.com/thing/1720649/KNS008-Dinge-zwischen-Strato-und-Asthenosphre";"http://www.konscience.de/2013/07/28/kns008-dinge-zwischen-strato-und-asthenosphaere/";"KNS008 – Dinge zwischen Strato- und Asthenosphäre";1;0,07;9
"2014-01";2004418;"https://flattr.com/thing/2004418/KNS010-Katzenbeschftigungstherapie";"http://www.konscience.de/2013/09/22/kns010-katzenbeschaeftigungstherapie/";"KNS010 – Katzenbeschäftigungstherapie";1;0;14
"2014-01";2190996;"https://flattr.com/thing/2190996/KNS011-Ey-Alter-mach-Protein";"http://www.konscience.de/2013/11/04/kns011-ey-alter-mach-protein/";"KNS011 – Ey Alter, mach’ Protein!";1;0;13
"2014-01";2247081;"https://flattr.com/thing/2247081/KNS012-Tough-Times-All-Around";"http://www.konscience.de/2013/11/17/kns012-tough-times-all-around/";"KNS012 – Tough Times All Around";1;0;12
"2014-01";2339981;"https://flattr.com/thing/2339981/KNS013-Phnix-aus-der-Gammastrahlung";"http://www.konscience.de/2013/12/09/kns013-phoenix-aus-der-gammastrahlung/";"KNS013 – Phönix aus der Gammastrahlung";1;0;9
"2014-02";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";12;6,84;168
"2014-02";2588724;"https://flattr.com/thing/2588724/KNS015-Erstmal-die-Chinchillas-ruhigstellen";"http://www.konscience.de/2014/02/03/kns015-erstmal-die-chinchillas-ruhigstellen/";"KNS015 – Erstmal die Chinchillas ruhigstellen";6;1,25;8
"2014-02";1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";4;0,76;48
"2014-02";2624176;"https://flattr.com/thing/2624176/KNS016-Sondersendung-Graduiertenschulen";"http://www.konscience.de/2014/02/11/kns016-sondersendung-graduiertenschulen/";"KNS016 – Sondersendung – Graduiertenschulen";2;0,5;4
"2014-03";2707148;"https://flattr.com/thing/2707148/KNS017-Mrtyrer-gegen-Copyright";"http://www.konscience.de/2014/03/02/kns017-martyrer-gegen-copyright/";"KNS017 – Märtyrer gegen Copyright";6;3,73;9
"2014-03";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";14;3,38;168
"2014-03";2795241;"https://flattr.com/thing/2795241/KNS018-Podcast-am-Ende-der-Nahrungskette";"http://www.konscience.de/2014/03/24/kns018-podcast-am-ende-der-nahrungskette/";"KNS018 – Podcast am Ende der Nahrungskette";6;2,13;8
"2014-03";1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";3;0,57;48
"2014-03";2624176;"https://flattr.com/thing/2624176/KNS016-Sondersendung-Graduiertenschulen";"http://www.konscience.de/2014/02/11/kns016-sondersendung-graduiertenschulen/";"KNS016 – Sondersendung – Graduiertenschulen";1;0,17;4
"2014-03";2588724;"https://flattr.com/thing/2588724/KNS015-Erstmal-die-Chinchillas-ruhigstellen";"http://www.konscience.de/2014/02/03/kns015-erstmal-die-chinchillas-ruhigstellen/";"KNS015 – Erstmal die Chinchillas ruhigstellen";1;0,09;8
"2014-03";1720649;"https://flattr.com/thing/1720649/KNS008-Dinge-zwischen-Strato-und-Asthenosphre";"http://www.konscience.de/2013/07/28/kns008-dinge-zwischen-strato-und-asthenosphaere/";"KNS008 – Dinge zwischen Strato- und Asthenosphäre";1;0,06;9
"2014-03";1270005;"https://flattr.com/thing/1270005/KNS002-Podcast-Krabbelgruppe-und-Katrins-Projekt";"http://www.konscience.de/2013/04/20/kns002-podcast-krabbelgruppe-und-katrins-projekt/";"KNS002 – Podcast-Krabbelgruppe und Katrins Projekt";1;0,03;11
"2014-03";1265883;"https://flattr.com/thing/1265883/KNS001-Der-Anfang-ist-gemacht";"http://www.konscience.de/2013/04/18/kns001-der-anfang-ist-gemacht/";"KNS001 – Der Anfang ist gemacht";1;0,03;14
"2014-03";1224259;"https://flattr.com/thing/1224259/KNS000-Teaser";"http://www.konscience.de/2013/03/30/kns000-teaser/";"KNS000 – Teaser";1;0,03;11
"2014-04";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";15;3,7;168
"2014-04";2863835;"https://flattr.com/thing/2863835/KNS019-Ein-Protein-sie-beide-zu-knechten";"http://www.konscience.de/2014/04/14/kns019-ein-protein-sie-beide-zu-knechten/";"KNS019 – Ein Protein sie beide zu knechten!";7;3,6;11
"2014-04";1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";3;0,83;48
"2014-04";2707148;"https://flattr.com/thing/2707148/KNS017-Mrtyrer-gegen-Copyright";"http://www.konscience.de/2014/03/02/kns017-martyrer-gegen-copyright/";"KNS017 – Märtyrer gegen Copyright";2;0,31;9
"2014-04";2629936;"https://flattr.com/thing/2629936/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/22440425";"Post by konscience on App.net";1;0,15;1
"2014-04";1265883;"https://flattr.com/thing/1265883/KNS001-Der-Anfang-ist-gemacht";"http://www.konscience.de/2013/04/18/kns001-der-anfang-ist-gemacht/";"KNS001 – Der Anfang ist gemacht";1;0,02;14
"2014-04";1270005;"https://flattr.com/thing/1270005/KNS002-Podcast-Krabbelgruppe-und-Katrins-Projekt";"http://www.konscience.de/2013/04/20/kns002-podcast-krabbelgruppe-und-katrins-projekt/";"KNS002 – Podcast-Krabbelgruppe und Katrins Projekt";1;0,02;11
"2014-04";1224259;"https://flattr.com/thing/1224259/KNS000-Teaser";"http://www.konscience.de/2013/03/30/kns000-teaser/";"KNS000 – Teaser";1;0,02;11
"2014-04";1330156;"https://flattr.com/thing/1330156/KNS003-Klarer-Fall-von-Anthropozn";"http://www.konscience.de/2013/05/09/kns003-klarer-fall-von-anthropozan/";"KNS003 – Klarer Fall von Anthropozän";1;0,02;11
"2014-04";2588724;"https://flattr.com/thing/2588724/KNS015-Erstmal-die-Chinchillas-ruhigstellen";"http://www.konscience.de/2014/02/03/kns015-erstmal-die-chinchillas-ruhigstellen/";"KNS015 – Erstmal die Chinchillas ruhigstellen";1;0,02;8
"2014-04";2795241;"https://flattr.com/thing/2795241/KNS018-Podcast-am-Ende-der-Nahrungskette";"http://www.konscience.de/2014/03/24/kns018-podcast-am-ende-der-nahrungskette/";"KNS018 – Podcast am Ende der Nahrungskette";1;0,02;8
"2014-05";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";23;10,09;168
"2014-05";3015051;"https://flattr.com/thing/3015051/KNS021-Frische-ESO-News";"http://www.konscience.de/2014/05/20/kns021-frische-eso-news/";"KNS021 – Frische ESO-News";10;4,25;14
"2014-05";2991529;"https://flattr.com/thing/2991529/KNS020-Jubilumssendung-mit-Methodisch-inkorrekt";"http://www.konscience.de/2014/05/13/kns020-jubilaeumssendung-mit-methodisch-inkorrekt/";"KNS020 – Jubiläumssendung mit Methodisch inkorrekt";9;2,52;11
"2014-05";1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";3;0,83;48
"2014-05";2863835;"https://flattr.com/thing/2863835/KNS019-Ein-Protein-sie-beide-zu-knechten";"http://www.konscience.de/2014/04/14/kns019-ein-protein-sie-beide-zu-knechten/";"KNS019 – Ein Protein sie beide zu knechten!";2;0,16;11
